Thu_tu,Tieu_de,Thoi_gian_dang,Tom_tat,Noi_dung,Tom_tat_bai_bao
0,"Khai mạc Tuần lễ Văn hóa, Du lịch gắn với Lễ hội Ok Om Bok năm 2024",10 tháng 11 2024 17:07,"Đêm 9/11, tại Trung tâm Văn hóa tỉnh Trà Vinh, UBND tỉnh tổ chức lễ khai mạc Tuần lễ Văn hóa, Du lịch gắn với Lễ hội Ok Om Bok tỉnh Trà Vinh năm 2024.","Đại biểu tham dự lễ khai mạc Tham dự khai mạc có các đồng chí: Phạm Quang Bản, Phó Vụ trưởng cơ quan Thường trực Ban Tuyên giáo Trung ương tại Thành phố Hồ Chí Minh; Kim Ngọc Thái, Phó Bí thư Thường trực Tỉnh ủy, Chủ tịch HĐND tỉnh; Lâm Minh Đằng, Phó Bí thư Tỉnh ủy; các đồng chí Ủy viên Ban Thường vụ Tỉnh ủy: Nguyễn Văn Triết, Trưởng Ban Nội chính Tỉnh ủy; Dương Thị Ngọc Thơ, Phó Chủ tịch HĐND tỉnh; Kim Rương, Trưởng Ban Dân vận Tỉnh ủy; Đại tá Trương Thanh Phong, Chỉ huy trưởng Bộ Chỉ huy Quân sự tỉnh; Nguyễn Quỳnh Thiện, Tỉnh ủy viên, Phó Chủ tịch UBND tỉnh, Trưởng Ban tổ chức Tuần lễ Văn hóa, Du lịch gắn với Lễ hội Ok Om Bok tỉnh Trà Vinh năm 2024; Châu Văn Hòa, Tỉnh ủy viên, Phó Chủ tịch UBND tỉnh; Hòa thượng Thạch Oai, Phó Chủ tịch Thường trực Hội Đoàn kết sư sãi yêu nước tỉnh; lãnh đạo UBND và lãnh đạo Sở Văn hóa, Thể thao và Du lịch các tỉnh khu vực đồng bằng sông Cửu Long; lãnh đạo các sở, ban, ngành, đoàn thể tỉnh; lãnh đạo Huyện ủy, Thị ủy, Thành ủy, UBND các huyện, thị xã, thành phố; cán bộ hưu trí và đông đảo ĐVTN, lực lượng vũ trang... ​Lãnh đạo các sở, ngành tỉnh và đại biểu tham dự lễ khai mạc Phát biểu khai mạc, Phó Chủ tịch UBND tỉnh Nguyễn Quỳnh Thiện khẳng định, việc tổ chức Tuần lễ Văn hóa, Du lịch gắn với Lễ hội Ok Om Bok tỉnh Trà Vinh nhằm bảo tồn, phát huy, giữ gìn Lễ hội Ok Om Bok của đồng bào Khmer tỉnh Trà Vinh đã được Bộ Văn hóa, Thể thao và Du lịch công nhận là Di sản văn hóa phi vật thể quốc gia. Đồng thời, là sự kiện để người dân giao lưu, kết nối cộng đồng, tạo động lực góp phần tăng năng suất lao động, thực hiện hoàn thành các chỉ tiêu phát triển kinh tế - xã hội năm 2024, tiến tới thực hiện thắng lợi Nghị quyết Đại hội Đảng bộ tỉnh lần thứ XI, nhiệm kỳ 2020 - 2025. Qua đó, tiếp tục bảo tồn, phát huy giá trị văn hóa truyền thống tốt đẹp của các dân tộc trên địa bàn tỉnh, góp phần xây dựng nền văn hóa Việt Nam tiên tiến, đậm đà bản sắc dân tộc. Phó Chủ tịch UBND tỉnh Nguyễn Quỳnh Thiện phát biểu khai mạc Phó Chủ tịch UBND tỉnh Nguyễn Quỳnh Thiện khẳng định, chuỗi các hoạt động trong khuôn khổ Tuần lễ Văn hóa, Du lịch là dịp để người dân, du khách trong và ngoài tỉnh được trải nghiệm các hoạt động mang tính đặc thù của tỉnh Trà Vinh; là dịp để các địa phương, các doanh nghiệp trong và ngoài tỉnh quảng bá đến du khách gần xa. Qua đó, tăng cường giao lưu, liên kết phát triển đa dạng các sản phẩm văn hóa - du lịch với các tỉnh, thành phố, tìm kiếm thị trường, xúc tiến đầu tư, thương mại, du lịch, kêu gọi các đơn vị, tổ chức, cá nhân đầu tư vào việc phát triển ngành văn hóa - du lịch của tỉnh Trà Vinh. Tuần lễ Văn hóa, Du lịch diễn ra từ ngày 09 - 15/11 tại thành phố Trà Vinh với 16 hoạt động tiêu biểu. Trong đó có các hoạt động nổi bật với nhiều nội dung phong phú, sôi nổi như: Lễ khai mạc Tuần lễ văn hóa, du lịch; không gian ẩm thực Nam Bộ; không gian triển lãm du lịch “Trà Vinh - Kết nối và phát triển”; Hội chợ Xúc tiến thương mại - Sản phẩm công nghiệp nông thôn và OCOP; liên hoan múa không chuyên dân tộc Khmer tỉnh Trà Vinh lần thứ II; các hoạt động trưng bày, triển lãm, trình diễn nghề, trang phục truyền thống đồng bào Khmer; các hoạt động thể thao (bóng chuyền, bóng đá, đua xe đạp, đua xe mô-tô, đua ghe ngo), trò chơi dân gian. Đặc biệt là đêm Lễ hội Ok Om Bok. Tại lễ khai mạc, nhiều tiết mục văn nghệ đặc sắc được các ca sĩ, nghệ sĩ trình bày mang đậm bản sắc văn hóa. Tốp ca múa Trung tâm Văn hóa tỉnh trình bày bài hát “Rừng trong thành phố” Tiết mục múa dân gian Khmer “Ghe ngo ngày hội” do diễn viên Đoàn Nghệ thuật Khmer Ánh Bình Minh biểu diễn Tiết mục múa dân gian Khmer “Chhu Chha bái tổ” do diễn viên Đoàn Nghệ thuật Khmer Ánh Bình Minh biểu diễn tại lễ khai mạc Nghệ sĩ Ưu tú Ngọc Huyền và nhóm múa với ca khúc “Thương lắm đất người miền Tây” Bài vọng cổ “Hương Sắc Trà Vinh” do Nghệ sĩ Ưu tú Đào Vũ Thanh và Nghệ sĩ Trịnh Ngọc Huyền trình bày  Theo Báo Trà Vinh ","Đại biểu tham dự lễ khai mạc Tham dự khai mạc đồng chí : Phạm Quang Bản , Phó Vụ trưởng quan Thường trực Ban Tuyên giáo Trung ương Thành phố Hồ Chí Minh ; Kim Ngọc Thái , Phó Bí thư Thường trực Tỉnh ủy , Chủ tịch HĐND tỉnh ; Lâm Minh Đằng , Phó Bí thư Tỉnh ủy ; đồng chí Ủy viên Ban Thường vụ Tỉnh ủy : Nguyễn Văn Triết , Trưởng Ban Nội Tỉnh ủy ; Dương Thị Ngọc Thơ , Phó Chủ tịch HĐND tỉnh ; Kim Rương , Trưởng Ban Dân vận Tỉnh ủy ; Đại tá Trương Thanh Phong , Chỉ huy trưởng Bộ Chỉ huy Quân tỉnh ; Nguyễn Quỳnh Thiện , Tỉnh ủy viên , Phó Chủ tịch UBND tỉnh , Trưởng Ban tổ chức Tuần lễ Văn hóa , Du lịch gắn Lễ hội Ok Om Bok tỉnh Trà Vinh 2024 ; Châu Văn Hòa , Tỉnh ủy viên , Phó Chủ tịch UBND tỉnh ; Hòa thượng Thạch Oai , Phó Chủ tịch Thường trực Hội Đoàn kết sư sãi yêu tỉnh ; lãnh đạo UBND lãnh đạo Sở Văn hóa , Thể thao Du lịch tỉnh khu vực đồng sông Cửu Long ; lãnh đạo sở , ban , ngành , đoàn thể tỉnh ; lãnh đạo Huyện ủy , Thị ủy , Thành ủy , UBND huyện , thị xã , thành phố ; cán hưu trí đông đảo ĐVTN , lực vũ trang ... ​Lãnh đạo sở , ngành tỉnh đại biểu tham dự lễ khai mạc Phát biểu khai mạc , Phó Chủ tịch UBND tỉnh Nguyễn Quỳnh Thiện khẳng định , tổ chức Tuần lễ Văn hóa , Du lịch gắn Lễ hội Ok Om Bok tỉnh Trà Vinh bảo tồn , phát huy , gìn Lễ hội Ok Om Bok đồng bào Khmer tỉnh Trà Vinh Bộ Văn hóa , Thể thao Du lịch công Di sản văn hóa phi vật thể quốc gia ."
1,Các hoạt động của Lễ hội Cà phê Buôn Ma Thuột lần thứ 9 năm 2025,06 tháng 11 2024 14:44,"Lễ hội Cà phê Buôn Ma Thuột lần thứ 9 được tổ chức từ ngày 9 đến 13/3/2025 với chủ đề “Buôn Ma Thuột - Điểm đến của cà phê thế giới”, có nhiều chương trình hấp dẫn. Qua 8 lần tổ chức, Lễ hội Cà phê Buôn Ma Thuột đã trở thành sự kiện nổi bật của ngành cà phê Việt Nam, để lại nhiều ấn tượng tốt đẹp với người dân, du khách trong nước và quốc tế.",,Không có nội dung để tóm tắt.
2,"Công bố Di sản văn hóa phi vật thể Quốc gia lễ hội “Vía bà Thủy Long”, Thanh Tùng",26 tháng 03 2024 08:17,"Nhằm tôn vinh nét đẹp văn hoá, lịch sử; đặc biệt là vinh danh lễ hội vía bà Thuỷ Long, lễ hội gắn chặt với đời sống tín ngưỡng, tâm linh từ bao đời qua trên mảnh đất Đầm Dơi anh hùng, tối 25/3, nhằm ngày 16/2 âm lịch, huyện Đầm Dơi phối hợp với Sở Văn hoá - Thể thao và Du lịch tỉnh Cà Mau long trọng tổ chức lễ trao bằng công nhận Di sản văn hóa phi vật thể Quốc gia của Bộ Văn hoá - Thể thao và Du lịch lễ hội “Vía bà Thủy Long”, tại xã Thanh Tùng, huyện Đầm Dơi.","Ông Trần Hiếu Hùng, Giám đốc Sở Văn hoá - Thể thao và Du lịch Cà Mau (bên trái) thừa uỷ nhiệm của Bộ trưởng Bộ Văn hoá – Thể thao và Du lịch, trao Bằng công nhận Di sản văn hóa phi vật thể Quốc gia Miếu bà Thuỷ Long Thanh Tùng cho địa phương. Thuỷ Long thần nữ hay còn gọi bà Thuỷ Long, là vị nữ thần được thờ ở khắp các địa phương đồng bằng Nam Bộ, đặc biệt là vùng sông nước Cà Mau. Miếu được thành lập cách đây 124 năm, gắn liền với những truyền thuyết, giai thoại của các vị tiền hiền, khai cơ lập nghiệp trên vùng đất mới. Miếu do hai tiền nhân Tô Minh Chánh và Nguyễn Văn Lành xây cất hướng về vàm Bỏ Mũ - Bàu Dừa, ghi dấu quá trình khai phá vùng đất Thanh Tùng ngày nay. Ông Phạm Thanh Liêm, Phó Chủ tịch UBND huyện Đầm Dơi, nhấn mạnh: “Lễ Vía bà với mục đích cầu mong mưa thuận gió hoà, quốc thái dân an; bày tỏ lòng biết ơn đối với vị thần nữ đã luôn phù trợ người dân trong việc sinh kế, cũng như tri ân các bậc tiền hiền, hậu hiền đã có công khai khẩn đất đai để con cháu hôm nay có được cuộc sống bình yên, ngày càng ấm no, sung túc”. Ông Phạm Thanh Liêm, Phó Chủ tịch UBND huyện Đầm Dơi, tặng giấy khen của Chủ tịch UBND huyện cho các nhân đóng góp kinh phí xây dựng Miếu bà Thuỷ Long. Theo đó, Lễ hội Vía bà Thuỷ Long được tổ chức hằng năm vào ngày 16-17/2 âm lịch, thu hút hàng ngàn du khách gần xa đến cúng viếng và tham gia lễ hội; trong đó, các nghi thức của lễ vía diễn ra có sự kết hợp hài hoà giữa nghi thức thờ mẫu và tín ngưỡng dân gian mang bản sắc riêng tại địa phương với chương trình nghi lễ đặc sắc; được xem là lễ hội dân gian lớn nhất xứ Đầm Dơi, mang lại sự phấn khích, không khí vui tươi, là nguồn động viên tinh thần rất lớn cho bà con trên địa bàn xã Thanh Tùng và các vùng lân cận… Lễ rước Bằng công nhận Di sản văn hóa phi vật thể Quốc gia về Miếu bà Thuỷ Long Thanh Tùng Tại Lễ công bố Di sản văn hóa phi vật thể Quốc gia Miếu bà Thuỷ Long Thanh Tùng, ông Trần Hiếu Hùng, Giám đốc Sở Văn hoá – Thể thao và Du lịch Cà Mau, bày tỏ mong muốn cộng đồng dân cư, các chủ sở hữu di sản cùng chính quyền, tổ chức, đoàn thể địa phương tiếp tục quan tâm gìn giữ, bảo tồn và phát huy giá trị di sản. Cần có nhiều hoạt động phối hợp giữa các đơn vị, tổ chức, đoàn thể nhằm tuyên truyền, quảng bá di sản, phục vụ du lịch. Phối cảnh miếu bà Thủy Long Thanh Tùng được trùng tu xây dựng trong thời gian tới. Lễ Công bố Di sản văn hóa phi vật thể Quốc gia Miếu bà Thủy Long Thanh Tùng diễn ra nhân dịp lễ vía bà với rất nhiều chuỗi sự kiện được tổ chức như: khởi công trùng tu tôm tạo di tích, hoạt động hội thao, trò chơi dân gian, liên hoan tiếng hát nhi đồng, chương trình nghệ thuật cải lương, giao lưu đờn ca tài tử, múa rỗi… Đặc biệt, lễ rước tiền hiền, hậu hiền tại vị được tổ chức bằng đường bộ và rước Bà Thuỷ Long bằng đường thuỷ mang đậm nét tín ngưỡng dân gian của của người dân vùng sông nước Thanh Tùng, Đầm Dơi./. Huỳnh Lâm ","Ông Trần Hiếu Hùng , Giám đốc Sở Văn hoá - Thể thao Du lịch Cà Mau ( trái ) thừa uỷ nhiệm Bộ trưởng Bộ Văn hoá – Thể thao Du lịch , trao Bằng công Di sản văn hóa phi vật thể Quốc gia Miếu Thuỷ Long Thanh Tùng địa phương . Theo , Lễ hội Vía Thuỷ Long tổ chức hằng 16-17/2 âm lịch , thu hút hàng ngàn du cúng viếng tham gia lễ hội ; , nghi thức lễ vía diễn kết hợp hài hoà nghi thức thờ mẫu tín ngưỡng dân gian sắc địa phương chương trình nghi lễ đặc sắc ; lễ hội dân gian xứ Đầm Dơi , phấn khích , khí vui tươi , động viên tinh thần địa bàn xã Thanh Tùng lân cận… Lễ rước Bằng công Di sản văn hóa phi vật thể Quốc gia Miếu Thuỷ Long Thanh Tùng Tại Lễ công bố Di sản văn hóa phi vật thể Quốc gia Miếu Thuỷ Long Thanh Tùng , Trần Hiếu Hùng , Giám đốc Sở Văn hoá – Thể thao Du lịch Cà Mau , bày tỏ mong cộng đồng dân cư , chủ sở hữu di sản quyền , tổ chức , đoàn thể địa phương tiếp tục quan tâm gìn , bảo tồn phát huy giá trị di sản . Lễ Công bố Di sản văn hóa phi vật thể Quốc gia Miếu Thủy Long Thanh Tùng diễn nhân dịp lễ vía chuỗi kiện tổ chức : khởi công trùng tu tôm di tích , hoạt động hội thao , trò dân gian , liên hoan tiếng hát nhi đồng , chương trình nghệ thuật cải lương , giao lưu đờn ca tài tử , múa rỗi… Đặc biệt , lễ rước tiền hiền , hậu hiền vị tổ chức đường rước Bà Thuỷ Long đường thuỷ đậm nét tín ngưỡng dân gian dân sông Thanh Tùng , Đầm Dơi./ ."
3,Tưng bừng Lễ hội Nghinh Ông Sông Đốc,24 tháng 03 2024 19:24,"Trong 3 ngày, từ 23-25/3 (ngày 14-16/2 âm lịch), tại thị trấn Sống Đốc, huyện Trần Văn Thời diễn ra Lễ hội Nghinh Ông, trong đó phần lễ chính vào ngày 15/2 âm lịch.","Năm nay là lần thứ 99 lễ hội được diễn ra kể từ lần đầu tiên khi Lăng thờ cá Voi (cá Ông) của làng chài Sông Đốc được xây dựng năm 1925. Lễ hội tín ngưỡng dân gian này đã được Bộ Văn hoá, Thể thao và Du lịch đưa vào danh mục Di sản văn hoá phi vật thể quốc gia năm 2021. Ban Trị sự cùng các hội tập trung tại sân chuẩn bị nghi lễ Nghinh Ông. Vật phẩm dâng cúng Ông. Với người dân làm nghề biển, họ xem cá Voi là loài vật thiêng liêng, ví như vị thần Đại tướng quân Nam Hải độ trì hộ mệnh ghe tàu ra khơi khai thác thuỷ sản, khi gặp nạn sóng to gió lớn sẽ được Ông nâng đỡ. Vì vậy mà hầu hết các làng chài ven biển Việt Nam nói chung, Sông Đốc nói riêng đều xây dựng lăng thờ khi Ông luỵ. Ông Trần Minh Đặng, Chánh vạn Lăng Ông Sông Đốc, đánh trống khai lễ. Nghi thức cúng tế được gìn giữ, trao truyền qua nhiều thế hệ tại Lăng Ông Sông Đốc. Chánh chủ Lăng Ông Sông Đốc, ông Trần Văn Quốc cho biết, lễ Nghinh Ông có những nghi thức cúng tế rất riêng, mang đậm bản sắc văn hoá của ngư dân Sông Đốc, được Ban Trị sự Lăng Ông cùng với chính quyền và nhân dân Sông Đốc gìn giữ, trao truyền và phát huy, thông qua những dịp lễ hội. Phần lễ được bắt đầu từ nghi thức cúng tế, tiếp theo là nghi thức rước Long Đình từ Vạn Lăng Nam Hải với cung nữ, hội ông, hội bà cùng đội cầm cờ nước, cờ phướng, kích, trống, lân…, cùng hàng ngàn người tham gia diễu hành từ Lăng Ông đến Cảng cá Sông Đốc trước khi đưa xuống tàu ra biển nghinh Ông. Năm nay, lễ Nghinh Ông trên biển có hàng trăm phương tiện tàu cá cùng hàng ngàn người tham gia rước Ông. Chính quyền địa phương phối hợp với các lực lượng: biên phòng, thanh tra giao thông, kiểm ngư… trên địa bàn Sông Đốc tăng cường tuần tra, kiểm soát, hướng dẫn tàu thuyền, nhằm bảo đảm trật tự, an toàn giao thông trong suốt thời gian diễn ra lễ hội. Đoàn diễu hành qua thị trấn Sông Đốc. Đoàn phương tiện diễu hành trên sông Ông Đốc để tiến ra biển. Rất nhiều ghe tàu trang trí cờ hoa, băng rôn rực rỡ tham gia ra biển nghinh Ông. Ở phần hội, nhiều hoạt động được tổ chức, tạo không khí tưng bừng, như: thi bơi thúng; trò chơi dân gian bắt vịt trên sông; thi kéo co; biểu diễn múa lân;  biểu diễn chương trình nghệ thuật tổng hợp, kết hợp giao lưu giữa các tài tử, múa dân vũ; triển lãm tư liệu hình ảnh “Hoàng Sa, Trường Sa của Việt Nam - Những bằng chứng pháp lý”,… Hội thi vá lưới là dịp để chị em phụ nữ miền biển thể hiện tài năng tay nghề và sự khéo léo của mình trong công việc hậu cần nghề biển, cũng như tạo tinh thần đoàn kết vui tươi sau những ngày lao động. Hội thi bóng chuyền chào mừng Lễ hội Nghinh Ông đã thu hút rất nhiều thanh niên các khóm, các đơn vị ban ngành, đoàn thể thị trấn tham gia tranh tài sôi nổi, hào hứng. Hội thi bơi thuyền thúng lần đầu tiên được tổ chức trong dịp Lễ hội Nghinh Ông, thu hút nhiều ngư phủ tham gia. Biểu diễn múa lân tạo sinh khí cho Lễ hội Nghinh Ông thêm rộn ràng. Nhiều người dân xem triển lãm tư liệu hình ảnh “Hoàng Sa, Trường Sa của Việt Nam - Những bằng chứng pháp lý”. Lễ hội Nghinh Ông Sông Đốc với ý nghĩa mong cầu mưa thuận gió hoà, trời yên, biển lặng, ngư dân khai thác biển trúng được nhiều cá tôm, an toàn và thuận lợi. Việc thực hành nghi thức tín ngưỡng này còn giúp gắn kết cộng đồng, thắt chặt tình đoàn kết, tương thân tương ái, đồng thời góp phần tích cực vào việc bảo vệ, gìn giữ và phát huy giá trị văn hoá, tín ngưỡng dân gian rất độc đáo của người dân miền biển Cà Mau./.  Huỳnh Lâm","Chánh chủ Lăng Ông Sông Đốc , Trần Văn Quốc , lễ Nghinh Ông nghi thức cúng tế , đậm sắc văn hoá ngư dân Sông Đốc , Ban Trị Lăng Ông quyền nhân dân Sông Đốc gìn , trao truyền phát huy , thông dịp lễ hội . Phần lễ bắt đầu nghi thức cúng tế , tiếp nghi thức rước Long Đình Vạn Lăng Nam Hải cung nữ , hội , hội đội cầm cờ , cờ phướng , kích , trống , lân… , hàng ngàn tham gia diễu hành Lăng Ông Cảng cá Sông Đốc tàu biển nghinh Ông . Chính quyền địa phương phối hợp lực : biên phòng , tra giao thông , kiểm ngư… địa bàn Sông Đốc cường tuần tra , kiểm soát , hướng tàu thuyền , bảo đảm trật , an toàn giao thông suốt thời gian diễn lễ hội . Ở hội , hoạt động tổ chức , khí tưng bừng , : thi bơi thúng ; trò dân gian bắt vịt sông ; thi kéo co ; biểu diễn múa lân ; biểu diễn chương trình nghệ thuật tổng hợp , kết hợp giao lưu tài tử , múa dân vũ ; triển lãm tư liệu hình ảnh “ Hoàng Sa , Trường Sa Việt Nam - Những chứng pháp lý ” , … Hội thi vá lưới dịp phụ nữ miền biển thể hiện tài năng nghề khéo léo công hậu nghề biển , tinh thần đoàn kết vui tươi lao động . Lễ hội Nghinh Ông Sông Đốc nghĩa mong cầu mưa thuận gió hoà , trời yên , biển lặng , ngư dân khai thác biển trúng cá tôm , an toàn thuận lợi . Việc thực hành nghi thức tín ngưỡng giúp gắn kết cộng đồng , thắt chặt tình đoàn kết , tương thân tương , đồng thời góp tích cực bảo vệ , gìn phát huy giá trị văn hoá , tín ngưỡng dân gian độc đáo dân miền biển Cà Mau./ ."
4,Ðảm bảo an toàn Lễ hội Nghinh Ông Sông Ðốc,18 tháng 03 2024 06:44,"Lễ hội Nghinh Ông Sông Ðốc năm nay diễn ra từ ngày 23-25/3 tới. Ðây là lễ hội dân gian hằng năm, nhằm phát huy giá trị di sản văn hoá phi vật thể quốc gia, đồng thời quảng bá, giới thiệu tiềm năng, thế mạnh của tỉnh Cà Mau thông qua các sự kiện, hoạt động văn hoá, thể thao, du lịch.","Để lễ hội diễn ra trong sinh khí vui tươi, an toàn, đúng quy định, các ngành, các cấp, địa phương nơi diễn ra sự kiện đã và đang triển khai nhiều giải pháp. Trong đó, quan tâm chú trọng giải pháp đảm bảo trật tự, an toàn giao thông (ATGT), nhất là giao thông thuỷ trong thời điểm diễn ra nghi thức diễu hành ra biển.  Cửa biển Sông Ðốc, nơi đoàn diễu hành của lễ hội sẽ ra biển làm lễ. Theo đó, thực hiện Công văn số 198/CCÐTNÐKVIII-QLHT, ngày 26/2/2024 của Chi cục Ðường thuỷ nội địa khu vực III về việc đảm bảo ATGT Lễ hội Nghinh Ông Sông Ðốc năm 2024, UBND huyện Trần Văn Thời đã xây dựng kế hoạch tổ chức lễ hội, đồng thời chỉ đạo Công an huyện xây dựng kế hoạch bảo vệ lễ hội, trong đó có công tác bảo đảm trật tự, ATGT khu vực diễn ra lễ hội (thuộc địa bàn thị trấn Sông Ðốc và tuyến sông, cửa sông Ông Ðốc - đoạn qua địa bàn thị trấn). Ông Kiều Minh Tiếng, Phó chủ tịch UBND huyện Trần Văn Thời, cho biết, để bảo đảm trật tự, ATGT đường thuỷ tại tuyến sông, cửa sông Ông Ðốc - đoạn qua địa bàn thị trấn Sông Ðốc, góp phần tổ chức Lễ hội Nghinh Ông Sông Ðốc năm 2024 an toàn, thành công, địa phương đã đề nghị Chi cục Ðường thuỷ nội địa Khu vực III công bố hạn chế giao thông thuỷ tại khu vực diễn ra lễ hội. Cụ thể, thời gian đề nghị hạn chế giao thông thuỷ (cấm luồng) là từ 11 giờ đến 17 giờ ngày 24/3 (nhằm ngày 15/2 âm lịch). Theo đó, Ban Tổ chức sẽ bố trí 2 chốt điều tiết giao thông thuỷ đặt tại 2 đầu tuyến nơi diễn ra Lễ hội Nghinh Ông Sông Ðốc để điều tiết phương tiện theo thời gian cấm luồng (đoạn từ Cảng cá Sông Ðốc trở ra cửa biển Sông Ðốc), với chiều dài tuyến gần 4 km. Ðồng thời, huyện đề nghị các ngành có liên quan, UBND thị trấn Sông Ðốc, chủ công là lực lượng công an bảo vệ điều tiết giao thông, đảm bảo an ninh trật tự, ATGT, phòng chống cháy nổ, sẵn sàng ứng phó với các tình huống xảy ra. Một góc Lăng Ông Nam Hải thuộc địa bàn Khóm 2, thị trấn Sông Đốc, huyện Trần Văn Thời. Chủ tịch UBND tỉnh chỉ đạo UBND huyện Trần Văn Thời xây dựng kế hoạch tổ chức lễ hội kết hợp với các hoạt động văn hoá, thể thao; chỉ đạo các đơn vị chức năng của địa phương hỗ trợ Lăng Ông Nam Hải tổ chức tốt Lễ hội Nghinh Ông năm 2024 đảm bảo trang trọng, nghiêm túc, an toàn, theo nghi thức truyền thống, để phục vụ Nhân dân. Ðồng thời, Chủ tịch UBND tỉnh đề nghị các đơn vị có liên quan (Sở Văn hoá, Thể thao và Du lịch; Sở Giao thông Vận tải, Công an tỉnh, Bộ Chỉ huy Bộ đội Biên phòng tỉnh) hướng dẫn UBND huyện Trần Văn Thời tổ chức lễ hội đúng quy định và tổ chức tốt các hoạt động văn hoá, thể thao, du lịch phục vụ Nhân dân và du khách. Ðồng thời, hỗ trợ đảm bảo an ninh trật tự, ATGT, đặc biệt là ATGT đường thuỷ trong thời gian diễn ra lễ hội. Hồng Nhung ""Bên cạnh đó, cũng sẽ siết chặt quản lý số lượng tàu, thuyền, số lượng người tham gia; vận động những người dân tham gia trực tiếp nghi thức lễ hội phải có áo phao dự phòng, đảm bảo an toàn trong suốt thời gian đi và về bến”, ông Kiều Minh Tiếng cho biết thêm. Ban Tổ chức cho biết, tham gia lễ hội năm nay gồm 6 phương tiện là tàu đánh cá do Ban Tổ chức sắp xếp chở Long Ðình, 150 phương tiện đánh bắt hộ tống và tổ chức làm lễ cầu ngư. Số lượng tàu, thuyền tham gia sẽ được UBND thị trấn Sông Ðốc trực tiếp hướng dẫn đăng ký, đồng thời UBND thị trấn cũng sẽ phối hợp với các ngành có liên quan quản lý chặt số lượng phương tiện, cũng như người tham gia. Theo nhận định của ngành chức năng, cùng với việc đưa cầu Ông Ðốc vào sử dụng, số lượng đại biểu, người dân và du khách đến với Lễ hội Nghinh Ông năm nay sẽ khá đông. Do đó, việc đảm bảo an ninh, an toàn trong thời gian diễn ra sự kiện là rất cần thiết. Bên cạnh chủ động thực hiện các biện pháp bảo đảm an toàn cho lễ hội của ngành chức năng, thì ý thức tự giác chấp hành luật của người dân, du khách tham gia vẫn là điều kiện tiên quyết, nhằm để lễ hội mang đậm bản sắc văn hoá của người dân miền biển diễn ra trang trọng, an toàn và tiết kiệm./.  Lê Chí ","Theo , thực hiện Công văn 198/CCÐTNÐKVIII-QLHT , 26/2/2024 Chi cục Ðường thuỷ nội địa khu vực III đảm bảo ATGT Lễ hội Nghinh Ông Sông Ðốc 2024 , UBND huyện Trần Văn Thời xây dựng kế hoạch tổ chức lễ hội , đồng thời đạo Công an huyện xây dựng kế hoạch bảo vệ lễ hội , công tác bảo đảm trật , ATGT khu vực diễn lễ hội ( địa bàn thị trấn Sông Ðốc tuyến sông , cửa sông Ông Ðốc - đoạn địa bàn thị trấn ) . Ông Kiều Minh Tiếng , Phó chủ tịch UBND huyện Trần Văn Thời , , bảo đảm trật , ATGT đường thuỷ tuyến sông , cửa sông Ông Ðốc - đoạn địa bàn thị trấn Sông Ðốc , góp tổ chức Lễ hội Nghinh Ông Sông Ðốc 2024 an toàn , thành công , địa phương đề nghị Chi cục Ðường thuỷ nội địa Khu vực III công bố hạn chế giao thông thuỷ khu vực diễn lễ hội . Theo , Ban Tổ chức bố trí 2 chốt tiết giao thông thuỷ 2 đầu tuyến diễn Lễ hội Nghinh Ông Sông Ðốc tiết phương tiện thời gian cấm luồng ( đoạn Cảng cá Sông Ðốc trở cửa biển Sông Ðốc ) , chiều tuyến 4 km . Chủ tịch UBND tỉnh đạo UBND huyện Trần Văn Thời xây dựng kế hoạch tổ chức lễ hội kết hợp hoạt động văn hoá , thể thao ; đạo đơn vị chức năng địa phương hỗ trợ Lăng Ông Nam Hải tổ chức Lễ hội Nghinh Ông 2024 đảm bảo trang trọng , nghiêm túc , an toàn , nghi thức truyền thống , phục vụ Nhân dân . Ðồng thời , Chủ tịch UBND tỉnh đề nghị đơn vị liên quan ( Sở Văn hoá , Thể thao Du lịch ; Sở Giao thông Vận tải , Công an tỉnh , Bộ Chỉ huy Bộ đội Biên phòng tỉnh ) hướng UBND huyện Trần Văn Thời tổ chức lễ hội quy định tổ chức hoạt động văn hoá , thể thao , du lịch phục vụ Nhân dân du . Bên cạnh chủ động thực hiện biện pháp bảo đảm an toàn lễ hội ngành chức năng , thức giác chấp hành luật dân , du tham gia kiện tiên quyết , lễ hội đậm sắc văn hoá dân miền biển diễn trang trọng , an toàn tiết kiệm./ ."
