Ten bai,Mo ta,Noi dung,Tom tat
Ðặc sản trái quê,"(CMO) Giữa phố thị, thi thoảng lại thấy những bạn hàng quê mang bán rổ bình bát, ổi vườn, khế, bần… ký ức về những loại trái giản dị, quê mùa ấy lại ùa về, cứ vướng vít tâm trí.","Cà Mau quê tôi không nhiều trái cây có giá trị kinh tế, giá trị xuất khẩu như các tỉnh khác ở miền Tây, song có những loại trái mang giá trị của ký ức, của hồn quê, mà lứa tuổi 8X trở về trước coi đó là đặc sản. Nhớ hồi đó, mỗi chiều là bọn tôi tụm năm tụm ba rủ nhau đi hái bần, hái bình bát. Tôi nhát, chỉ xí mấy nhánh gần, cặp bờ nên lúc nào cũng được ít trái hơn bọn con trai trèo cao, lội đìa giỏi. Có được “chiến lợi phẩm”, trái nào muồi, tụi tôi bẻ ra ăn ngay trên đường về, vừa ăn vừa bàn chuyện nắng mưa. Trái nào hườm hườm thì “đóng thùng” bỏ vô đầy trước bụng, lỉnh khỉnh mang về giú khạp gạo, mấy ngày sau ăn mới ngon. Người lớn la không cho cầm dao sợ đứt tay, tôi lấy muỗng cạo sạch vỏ bình bát, dầm với đường, nước đá đập, có bữa đổ thêm chút sữa bò, ăn ngất ngây. Thằng em tôi lần nào ăn bình bát cũng bị mẹ rầy vì phun hột tứ tung, đi đạp dính xuống nền đất khó quét. Hương vị thơm, ngọt, bùi ấy chắc hẳn khắc sâu trong trí nhớ mỗi người từng thưởng thức loại “đặc sản” này. Còn trái bần thì nhà tôi ai cũng ưa thích và chế biến thành nhiều món. Trái sống thì cha tôi ăn kèm với mắm; trái vừa chín tới thì tôi rủ mấy đứa bạn lại cắt lát, chấm nước mắm đường; trái muồi quá, mẹ tôi mang nấu canh chua bông súng, có khi dầm với cá kho, mùi thơm phảng phất khắp nhà. Hồi chưa chuyển dịch làm vuông, ở quê hầu như nhà nào cũng có cây ổi, cây khế quanh nhà. Nhà tôi cũng vậy. Khế chua nên tụi tôi ít khi ăn, chỉ thích ngắm hoa khế tim tím, li ti đan vào nhau trên khắp các cành lớn, nhỏ. Chỉ sau vài trận mưa rào, nụ hoa bung nở, gió thổi bay khắp sân, tụi tôi gom cánh hoa khế chơi đồ hàng với nhau. Còn mấy cây ổi nếp sau nhà, trái vừa bớt chát đã bị bọn tôi lặt hết, mà trái nào cũng chi chít dấu móng tay bấm thăm chừng hàng ngày. Nhớ có lần đi vườn bẻ ổi gặp phải ổ ong ruồi, nhỏ em tôi bị rượt chạy tới đầu đất, đến nỗi phải lặn xuống đìa mới thoát. Nhỏ ấm ức mấy ngày liền vì mặt sưng không ai cho đóng vai chính trong tuồng “Nguyệt hổ vương” mà nhỏ bỏ công học lời, học biểu diễn cả tháng trời. Những loại trái cây quê luôn gợi nhớ ký ức bình yên của mỗi người. Không ngờ cây mọc hoang tự nhiên, quê mùa như bình bát, bần, khế, ổi… đều có chứa các thành phần có lợi cho sức khoẻ. Thành phần trong các bộ phận trên cây bình bát giúp nâng cao sức khoẻ, giảm gặp phải các vấn đề về thị lực, giúp giải nhiệt… Trái bần có tác dụng tiêu viêm, giảm đau, lá bần giúp chữa bí tiểu tiện và cầm máu. Trái khế giúp hỗ trợ tiêu hoá, ngăn ngừa bệnh tim mạch, tốt cho thị lực và kiểm soát đường huyết. Còn trái ổi tốt cho người cao huyết áp, giúp giảm ho, cảm lạnh, đẹp da… Chắc hồi nhỏ do ăn nhiều trái này nên bọn tôi đủ sức suốt ngày dang nắng, tắm mưa, ngoi dưới sông, dưới đìa… mà cứ mạnh cùi cụi ra. Mỗi lần đi tác nghiệp, thấy chỗ nào có mấy loại cây này là tôi không muốn rời đi. Cảm xúc nhớ nhung hiện về nơi vùng quê nghèo khó mà dung dị, yên bình với thức quà vặt của lũ trẻ chỉ là quả dại hay nhà trồng mà vẫn ngon hết sẩy. Giờ ở chợ thành, lâu lâu có người quê bán bình bát, ổi, bần, khế…, nhiều người ghé mua tỏ vẻ thích thú như để xoa dịu miền ký ức đẹp đẽ. Tôi dừng lại ngắm nghía, rồi cũng mang về giới thiệu cho sắp nhỏ ở nhà. Rằng đây là món ưa thích của mẹ lúc nhỏ, tuy nó không giá trị bằng các loại trái bây giờ nhưng chất chứa một thời tuổi thơ. Nhỏ con cứ cầm lên, để xuống mà không biết cách ăn như thế nào. Ðã mấy chục năm qua đi, giờ gặp lại đám bạn chúng tôi ngày xưa cứ nhắc miết chuyện trèo cây, lội đìa hái trái, rồi chiều chiều mang theo hùn nhau vừa ăn vừa chơi nhảy dây, trốn tìm, thảy đá… Theo sự phát triển xã hội, những loại cây trái quê có thể dần bị quên lãng, nhưng vẫn mãi là đặc sản về quê hương, xứ sở, sống trong ký ức bình yên, đẹp đẽ của mỗi người./.   Mộng Thường","Cà Mau quê tôi không nhiều trái cây có giá trị kinh tế, giá trị xuất khẩu như các tỉnh khác ở miền Tây, song có những loại trái mang giá trị của ký ức, của hồn quê, mà lứa tuổi 8X trở về trước coi đó là đặc sản.
Có được “chiến lợi phẩm”, trái nào muồi, tụi tôi bẻ ra ăn ngay trên đường về, vừa ăn vừa bàn chuyện nắng mưa.
Người lớn la không cho cầm dao sợ đứt tay, tôi lấy muỗng cạo sạch vỏ bình bát, dầm với đường, nước đá đập, có bữa đổ thêm chút sữa bò, ăn ngất ngây.
Trái sống thì cha tôi ăn kèm với mắm; trái vừa chín tới thì tôi rủ mấy đứa bạn lại cắt lát, chấm nước mắm đường; trái muồi quá, mẹ tôi mang nấu canh chua bông súng, có khi dầm với cá kho, mùi thơm phảng phất khắp nhà.
Còn mấy cây ổi nếp sau nhà, trái vừa bớt chát đã bị bọn tôi lặt hết, mà trái nào cũng chi chít dấu móng tay bấm thăm chừng hàng ngày.
Thành phần trong các bộ phận trên cây bình bát giúp nâng cao sức khoẻ, giảm gặp phải các vấn đề về thị lực, giúp giải nhiệt… Trái bần có tác dụng tiêu viêm, giảm đau, lá bần giúp chữa bí tiểu tiện và cầm máu.
Còn trái ổi tốt cho người cao huyết áp, giúp giảm ho, cảm lạnh, đẹp da… Chắc hồi nhỏ do ăn nhiều trái này nên bọn tôi đủ sức suốt ngày dang nắng, tắm mưa, ngoi dưới sông, dưới đìa… mà cứ mạnh cùi cụi ra.
Mỗi lần đi tác nghiệp, thấy chỗ nào có mấy loại cây này là tôi không muốn rời đi.
Ðã mấy chục năm qua đi, giờ gặp lại đám bạn chúng tôi ngày xưa cứ nhắc miết chuyện trèo cây, lội đìa hái trái, rồi chiều chiều mang theo hùn nhau vừa ăn vừa chơi nhảy dây, trốn tìm, thảy đá… Theo sự phát triển xã hội, những loại cây trái quê có thể dần bị quên lãng, nhưng vẫn mãi là đặc sản về quê hương, xứ sở, sống trong ký ức bình yên, đẹp đẽ của mỗi người./."
Bánh chuối hấp,"(CMO) Tại Hội thi Bánh dân gian Nam Bộ do tỉnh Cà Mau tổ chức dịp lễ 30/4 vừa qua, chị em phụ nữ Ấp 5, xã Trần Hợi đại diện huyện Trần Văn Thời giới thiệu với bạn bè trong và ngoài tỉnh món bánh chuối hấp chinh phục lòng người.","Chi hội trưởng Chi hội Phụ nữ Ấp 5, xã Trần Hợi Trần Thị Hằng là người làm bánh khéo có tiếng xứ này. Chị cho biết, bánh chuối hấp là món bánh dân gian có từ rất lâu đời của xứ chuối Trần Hợi, ngay thuở nhỏ chị đã được ăn món bánh chuối do mẹ làm, rất ngon và ấn tượng. Trải qua thời gian gần 50 năm, dù bao nhiêu thứ bánh ngon lạ ra đời, nhưng với chị Hằng, bánh chuối hấp mẹ làm vẫn giữ được vị trí nhất định trong tiềm thức. Chị Hằng nói, làm bánh chuối hấp rất đơn giản, quan trọng là khâu chọn nguyên liệu, cộng thêm chút bí quyết gia truyền. Bánh chuối hấp Trần Hợi ngon là vì được làm từ chính sản vật của quê hương. Chuối phải lựa chuối xiêm đen ủ chín muồi, vì chuối xiêm đen có mùi thơm và vị ngọt hơn so với xiêm trắng. Bà Ðoàn Ngọc Sương cho biết: ""Bánh chuối hấp thơm ngon phải lót nồi xửng hấp bánh bằng lá chuối xiêm non, không nên lót lá chuối già làm bánh bị đắng; bột gạo làm bánh bằng giống lúa sạch, đặc sản địa phương; nước cốt dừa béo ngậy phải từ cơm dừa dứa, dừa lửa vừa khô, chưa lên mọng""... những thứ đặc sản ấy kết hợp pha ít bột năng, nghệ vàng, thử hỏi bánh chuối Trần Hợi làm sao không dẻo dai, thơm ngon, ngọt ngây, béo ngậy đến như vậy, nó hấp dẫn một cách lạ lùng. Mẻ bánh đầu tiên các chị đang còn hấp thì đã thơm lừng cả gian bếp. Mùi chuối, rồi mùi nước cốt dừa hoà quyện tạo nên hương thơm lôi cuốn khiến ai cũng muốn ăn ngay. Nghe tới là đã thấy thèm rồi!     Huỳnh Lâm thực hiện","Chị cho biết, bánh chuối hấp là món bánh dân gian có từ rất lâu đời của xứ chuối Trần Hợi, ngay thuở nhỏ chị đã được ăn món bánh chuối do mẹ làm, rất ngon và ấn tượng.
Bánh chuối hấp Trần Hợi ngon là vì được làm từ chính sản vật của quê hương.
những thứ đặc sản ấy kết hợp pha ít bột năng, nghệ vàng, thử hỏi bánh chuối Trần Hợi làm sao không dẻo dai, thơm ngon, ngọt ngây, béo ngậy đến như vậy, nó hấp dẫn một cách lạ lùng."
Bà Hai bánh ú,"(CMO) Tôi biết đến bánh ú bà Hai qua lời giới thiệu của anh em trong UBND xã Hồ Thị Kỷ (huyện Thới Bình): “Ở đây có món bánh ú lá tre ngon lắm, tuy là món bánh giản dị nhưng ăn một lần rồi sẽ nhớ"". Tôi hơi ngờ ngợ, nhưng vẫn đều bước xuống căn tin của xã.","Bên bụi tre xanh mướt, cặp bụi chuối xiêm đang trổ buồng là nồi bánh ú đang đỏ lửa, mùi thơm thoang thoảng. Bánh chín, dĩa bánh mời khách còn bốc khói, tôi nhẹ lột lớp vỏ lá tre, bánh có màu vàng trong vắt, các hạt nếp nhuyễn tạo thành khối. Vỏ bánh vừa dẻo thơm, vừa sần sật mang vị riêng của hạt nếp ngâm nước tro, hoà quyện cùng mùi thơm của lá tre, ngọt bùi của đậu, béo của dừa tạo nên hương vị “bánh ú bà Hai”. Bà Hai (Phạm Lệ Thuỷ, 62 tuổi, xã Hồ Thị Kỷ) được má truyền nghề từ năm 11 tuổi, hơn 50 năm tay nghề làm bánh ú gia truyền, chị em bà cũng tạo được thương hiệu “bánh ú vàm Cái Tàu”. Bà Hai cho biết, làm bánh ú lá tre ngỡ dễ nhưng thật sự không dễ. Bánh nhìn rất đơn giản, nhưng để làm ra cái bánh ngon phải qua nhiều công đoạn. Mỗi người đều có công thức riêng, nhưng đối với gia đình bà, công đoạn ngâm nếp là quan trọng vì nó quyết định sự thành công của mẻ bánh. Nếp phải ngâm với nước tro lắng vôi trong 24 tiếng rồi xả nhiều lần với nước sạch. Người ngâm nếp phải có kinh nghiệm, pha nước tro đúng liều lượng, đặc quá bánh sẽ đắng, khó ăn, nếu loãng, nếp không nhuyễn, bánh không dai và không ngon. Quê bà ở vàm Cái Tàu (ấp Tắc Thủ, xã Hồ Thị Kỷ, huyện Thới Bình), khi có gia đình về xã Hồ Thị Kỷ. Tuy chỉ khác xóm nhưng nơi đây hầu như không ai biết gói bánh này, mỗi khi ở xóm có đám giỗ, bà chuẩn bị ngâm nếp, ngâm đậu xanh cà rồi hướng dẫn chị em trong xóm gói bánh. Ðậu xanh đãi sạch vỏ, nấu cho chín mềm, sên chung với đường, nước cốt nạo, để lửa nhỏ đến khi đậu khô lại, tắt bếp, để nguội rồi vo viên. Lá tre ngâm nước, rửa sạch. Bà dùng một nắm dây lác chẻ nhỏ phơi khô, buộc chùm vào cây đinh ở góc nhà cho thòng xuống, xếp 2 hoặc 3 lá tre tuỳ theo lá lớn hay nhỏ “chồng lệch” lên nhau, quấn lại thành cái quặng, cho nếp và nhân bánh vào, canh cho nhân nằm giữa hai phần nếp, tiếp tục cho nếp phủ kín phần nhân, cuối cùng là gói các góc lá tre thành hình tam giác và buộc dây lác lại sao cho 3 mặt của chiếc bánh bằng nhau tạo thành hình tam giác. Công đoạn nấu bánh cũng rất kỳ công, nấu nước thật sôi mới thả bánh vào nồi và phải canh cho lửa cháy đều, lửa tắt bánh sẽ bị chay. Châm nước liên tục không để nồi bánh cạn nước bánh chín không đều. Có như vậy bánh mới giữ được vị ngọt thanh của đường, dẻo của nếp và mùi thơm của lá tre, giữ được 3-4 ngày mà không bị hư. Theo bà Hai, bánh lá tre có thể luộc khoảng 2 tiếng là chín, nhưng để cho nếp nhuyễn và lâu hư thì phải nổi lửa đều khoảng 3 tiếng mới vớt bánh. “Lúc đầu theo mẹ học gói bánh, đôi lúc tôi muốn bỏ cuộc, từ cách quấn lá đến buộc dây đều rất khó đối với cô bé mới lên 10, cái bánh làm ra không đồng đều, méo mó tùm lum, đôi lúc sứt dây, bung nếp. Nhưng nhờ sự kiên nhẫn hướng dẫn của mẹ nên tôi dần thành thạo”, bà Hai trần tình. Tay vẫn thoăn thoắt quấn từng chiếc bánh, bà Hai tiếp tục kể: “Ngày xưa mấy chị em tôi mê xem hát lắm, nghe trong xóm nói có “gánh hát” về chợ Thới Bình là nôn nao xin má đi xem. Má giao 3 chị em từ xế trưa đến chiều phải gói xong 1.000 cái bánh ú mới được đi xem hát. Tuy mới biết gói, nhưng 3 chị em bà vì muốn được đi xem hát nên đều tay cho ra những chiếc bánh đẹp. Nồi bánh đỏ lửa, 3 chị em bắt đầu diện đồ mới cùng chị em trong xóm lội bộ từ vàm Cái Tàu ra chợ huyện xem hát”. Ðó là chuyện xưa, chứ giờ mình bà 1 ngày gói hơn 1.000 cái bánh là chuyện bình thường. Lá, dây, nếp, nhân chuẩn bị sẵn, bà gói một mạch hơn 250 cái/tiếng. Tết Ðoan ngọ năm nay, bà gói hơn 9.000 cái bánh ú. Từ sáng mùng 2-4 bếp nhà bà luôn đỏ lửa và kịp giao bánh cho các mối quen. Mỗi ngày, bà Hai có thể cho ra lò 1.500 cái bánh ú. Những lúc rảnh, bà Hai còn đan giỏ dây nhựa cho các xí nghiệp hoặc chị em phụ nữ ở xã có đợt đi dự thi các sản phẩm khéo tay từ sản phẩm giỏ nhựa bà đều góp ít công sức. Khi có hội thi bánh dân gian của tỉnh, chị em trong Hội Phụ nữ  xã cũng có ý mời bà tham gia nhưng bà từ chối. Ông Hai lúc này cũng có tuổi rồi, nay ốm, mai đau, chân ông cũng yếu, con cháu ở xa nên lúc nào bà cũng muốn ở cạnh bên hủ hỉ. Hàng ngày bà đốn chuối, xắt khoanh, ông Hai bằm nhuyễn trộn với cám, lúa nuôi đàn vịt, gà sau nhà gần 100 con. Lúc đầu bà định nuôi vài con vịt, mấy con gà để dành cho con cháu về chơi hay đãi khách phương xa. Nhưng bầy vịt, gà tới lứa đẻ trứng, ăn không hết bà lại lụi hụi làm ổ, rồi ấp con. Bà mát tay và chăm sóc kỹ bầy gà, vịt nào cũng tròn trĩnh, lớn nhanh. “Ba người con bà “nhằn” miết, ""giờ ba, má lớn tuổi rồi, các con cũng thành đạt, nhà cũng có đất cho mướn, thu nhập hàng tháng kha khá, có thể “về hưu” để an hưởng tuổi già”. Ông bà đều không chịu, không làm sẽ buồn, nhất là nghề gói bánh ú, lâu lâu không gói bà thấy  buồn. Ông Hai cũng là người kề cận, khi bà chuẩn bị làm bánh, ông xách rổ ra vườn hái lá tre, so dây lác buộc thành chùm, trong lúc bà gói bánh thì kiếm củi nhóm lửa, lấy nồi nấu nước. Bà xắt chuối thì ông cũng xách dao, thớt bằm nhuyễn, hai vợ chồng sớm tối có nhau. Kinh tế gia đình khá ổn định, các con thành đạt nhưng bà Hai vẫn không muốn “quay lưng"" với nghề truyền thống của mẹ để lại. Mỗi nghề có nét đặc trưng riêng, mỗi người có đam mê khác nhau nhưng đối với bà Hai, lúc nào cũng muốn góp ít công sức “thổi lửa” cho nghề bánh ú lá tre truyền thống luôn cháy mãi./.   Bảo Hân","Bà Hai (Phạm Lệ Thuỷ, 62 tuổi, xã Hồ Thị Kỷ) được má truyền nghề từ năm 11 tuổi, hơn 50 năm tay nghề làm bánh ú gia truyền, chị em bà cũng tạo được thương hiệu “bánh ú vàm Cái Tàu”.
Bà Hai cho biết, làm bánh ú lá tre ngỡ dễ nhưng thật sự không dễ.
Mỗi người đều có công thức riêng, nhưng đối với gia đình bà, công đoạn ngâm nếp là quan trọng vì nó quyết định sự thành công của mẻ bánh.
Tuy chỉ khác xóm nhưng nơi đây hầu như không ai biết gói bánh này, mỗi khi ở xóm có đám giỗ, bà chuẩn bị ngâm nếp, ngâm đậu xanh cà rồi hướng dẫn chị em trong xóm gói bánh.
Bà dùng một nắm dây lác chẻ nhỏ phơi khô, buộc chùm vào cây đinh ở góc nhà cho thòng xuống, xếp 2 hoặc 3 lá tre tuỳ theo lá lớn hay nhỏ “chồng lệch” lên nhau, quấn lại thành cái quặng, cho nếp và nhân bánh vào, canh cho nhân nằm giữa hai phần nếp, tiếp tục cho nếp phủ kín phần nhân, cuối cùng là gói các góc lá tre thành hình tam giác và buộc dây lác lại sao cho 3 mặt của chiếc bánh bằng nhau tạo thành hình tam giác.
Theo bà Hai, bánh lá tre có thể luộc khoảng 2 tiếng là chín, nhưng để cho nếp nhuyễn và lâu hư thì phải nổi lửa đều khoảng 3 tiếng mới vớt bánh.
“Lúc đầu theo mẹ học gói bánh, đôi lúc tôi muốn bỏ cuộc, từ cách quấn lá đến buộc dây đều rất khó đối với cô bé mới lên 10, cái bánh làm ra không đồng đều, méo mó tùm lum, đôi lúc sứt dây, bung nếp.
Tay vẫn thoăn thoắt quấn từng chiếc bánh, bà Hai tiếp tục kể: “Ngày xưa mấy chị em tôi mê xem hát lắm, nghe trong xóm nói có “gánh hát” về chợ Thới Bình là nôn nao xin má đi xem.
Tuy mới biết gói, nhưng 3 chị em bà vì muốn được đi xem hát nên đều tay cho ra những chiếc bánh đẹp.
Mỗi ngày, bà Hai có thể cho ra lò 1.500 cái bánh ú.
Ông Hai cũng là người kề cận, khi bà chuẩn bị làm bánh, ông xách rổ ra vườn hái lá tre, so dây lác buộc thành chùm, trong lúc bà gói bánh thì kiếm củi nhóm lửa, lấy nồi nấu nước.
Mỗi nghề có nét đặc trưng riêng, mỗi người có đam mê khác nhau nhưng đối với bà Hai, lúc nào cũng muốn góp ít công sức “thổi lửa” cho nghề bánh ú lá tre truyền thống luôn cháy mãi./."
Thân thương cây dừa nước,"(CMO) Cây dừa nước là hình ảnh rất quen thuộc, gắn bó thân thiết với đời sống người dân miền sông nước Cà Mau. Chúng mọc nhiều vô số kể ở ven sông, rạch cả hai vùng ngập mặn và ngập lợ. Cây cho trái quanh năm, nhưng nhiều nhất vào mùa hè, từ tháng 7-9. Cơm dừa nước (cái dừa) là món ngon, đặc sản dân dã của quê hương mà ai thưởng thức một lần sẽ nhớ mãi.","Cây dừa nước có rất nhiều công dụng đối với người dân Cà Mau như: đọt lá dừa nước non (dân gian còn gọi là cà bắp) dùng làm dây buộc (lạt dừa), lá dừa dùng để lợp nhà, bập dừa là phương tiện cho trẻ nhỏ tập bơi… Ðặc biệt, mật và cái dừa nước chế biến thành nhiều món giải khát rất ngon. Dừa nước sống thành bụi, cho trái tương tự cây dừa cạn. Thân dừa tới lứa ra lưỡi mèo, rồi trổ bông, ra trái; những trái dừa được ghép chặt lại với nhau thành hình cầu, gọi là quày dừa, buồng dừa. Cái dừa nước có màu trắng, mềm, vị ngọt thơm, tính mát, chế biến thành nhiều món ăn tuyệt vời như: mật dừa nước có hương vị thơm ngon được khai thác từ cuống của quày dừa, dùng để sản xuất mật dừa, nước giải khát, làm bánh; cái dừa chế biến món chè, làm dừa đá… giúp thanh nhiệt, rất tốt cho sức khoẻ. Vị mát dịu, ngọt thanh của dừa nước chính là những tinh tuý được kết tụ và chắt lọc từ đất tạo nên những trái ngọt mát lành, đặc trưng của miền quê sông nước Cà Mau. Ngày nay, khi đời sống người dân miền quê Cà Mau ngày một phát triển, nhiều vật liệu đã thay thế chức năng của lá dừa nước trong xây dựng, làm cho cây dừa nước ngày càng mất đi vị thế của nó. Tuy nhiên, hình ảnh hàng dừa nước ven sông soi mình trong nắng sớm, nơi tuổi thơ hồn nhiên của biết bao người cùng bạn bè kéo nhau đi chặt từng quày dừa nước, cùng nhau ôm bập dừa nước tập bơi trong những ngày hè… vẫn còn hiện hữu trong tâm trí những người con xa xứ mỗi khi trở về./.   Huỳnh Lâm thực hiện","Cây dừa nước có rất nhiều công dụng đối với người dân Cà Mau như: đọt lá dừa nước non (dân gian còn gọi là cà bắp) dùng làm dây buộc (lạt dừa), lá dừa dùng để lợp nhà, bập dừa là phương tiện cho trẻ nhỏ tập bơi… Ðặc biệt, mật và cái dừa nước chế biến thành nhiều món giải khát rất ngon.
Vị mát dịu, ngọt thanh của dừa nước chính là những tinh tuý được kết tụ và chắt lọc từ đất tạo nên những trái ngọt mát lành, đặc trưng của miền quê sông nước Cà Mau. Ngày nay, khi đời sống người dân miền quê Cà Mau ngày một phát triển, nhiều vật liệu đã thay thế chức năng của lá dừa nước trong xây dựng, làm cho cây dừa nước ngày càng mất đi vị thế của nó."
Xuồng bánh mì kem,"(CMO) Bánh mì kem là món ăn vặt tuổi thơ đáng nhớ một thời ở vùng quê sông nước. Món này ăn sáng, ăn trưa hay ăn xế đều ngon và no bụng. Con nít xuýt xoa, người lớn gật gù khen ngon và cho đến nay, nhiều thế hệ vẫn còn nhớ đến. Lớp bánh mì mềm dai bên ngoài, cộng thêm vị mát lạnh, nhưng không ngọt ngấy của kem bên trong, vị thơm béo của đậu phộng và sữa đặc, tất cả hoà vào nhau lại hợp đến kỳ lạ.","Hình ảnh chiếc xuồng máy chạy trên sông chở thùng bánh mì kem có lẽ đã rất quen thuộc với những ai sinh ra và lớn lên ở vùng sông nước. Cứ những lúc ở nhà là đám trẻ con xuống mé sông ngóng bóng dáng chiếc xuồng cô bán bánh mì kem chạy ngang. Nói đâu xa xôi, xuồng bánh mì kem gần 20 năm này là của cô Tư Loan (Ðặng Thị Loan, ấp Nhà Máy B, xã Khánh Hưng, huyện Trần Văn Thời). Dù đã gần 55 tuổi, cuộc sống của cô vẫn chưa vơi đi nhọc nhằn từ hồi con gái đến tận bây giờ. Mỗi tối, cô Tư đều tự làm kem dừa đựng trong thùng inox, rồi sáng hôm sau lấy bánh mì, khiêng thùng kem xuống xuồng chuẩn bị cho một ngày đi bán. Ðể giữ cho kem không bị tan chảy dưới trời nắng, cô đặt thùng kem giữa một chiếc thùng xốp, thay cho tủ lạnh. Chiếc xuồng chở thùng bánh mì kem cứ vậy chạy dọc theo các con sông, kênh, rạch. Cô Tư kể: “Vợ chồng tôi quê ở Bạc Liêu, vì kiếm sống mà sắm xuồng máy đi làm nghề bán muối xuống tận đây. Thấy làm ăn cũng ổn nên cắm sào định cư nơi đây luôn. Không có đất cát gì để sản xuất, mà hồi trước có học nghề làm kem, nên sắm thêm chiếc xuồng để làm kem đi bán. Còn chồng vẫn làm nghề bán muối. Mùa nắng bán được hơn mùa mưa. Con nít khoái ăn lắm. Hôm nào mưa gió quá phải nghỉ. Chạy vòng vòng các xóm để bán cũng hơn 20 km. Hôm nào đắt thì bán hết 150 ổ bánh mì với 6 ký kem, hôm nào ế ế thì 7-8 chục ổ bánh mì kem. Còn dư thì vợ chồng, con cháu ăn trừ cơm. Mỗi ngày cứ ra 150.000 đồng tiền bánh mì, 120.000 đồng tiền xăng, làm kem tốn 150.000 đồng nữa, nên trừ hết chi phí, lời 150.000 đồng là mừng lắm rồi”. Trong quê thì bánh mì kem là quà vặt yêu thích nhất của tụi nhỏ. Xin người lớn được 5.000 đồng là tụi con nít ra mé sông đứng canh cô bán bánh mì kem chạy xuồng ngang. Bên cạnh bánh mì kem, cô Tư Loan bán thêm kem ly, bánh mì thịt, bánh mì chả, đa dạng nhiều món cho tụi nhỏ tha hồ lựa chọn và đổi món. Ông Năm Ân (Trần Văn Ân, ấp Sào Lưới, xã Khánh Bình Tây Bắc, huyện Trần Văn Thời) đã ngoài 60 tuổi, có mấy đưa cháu, cứ mấy ngày là xin tiền ông để mua bánh mì kem. Ông cũng hay ăn chung với tụi nhỏ cho vui. “Chịu mua bánh mì kem cho mấy đứa nhỏ là tụi nó mừng dữ lắm. Ở tuốt ngoài đê Sào Lưới này nên tới trưa cô bán bánh mì kem mới chạy xuồng tới. Nhất là lúc nghỉ hè này, hễ ăn cơm xong, chưa qua bụng là tụi nhỏ đứng ngóng rồi”. Ổ bánh mì dồn kem là món ăn vặt bình dân xuất hiện đã lâu ở Cà Mau. Bây giờ, món ăn vặt tuổi thơ này còn được người ta chạy xe máy bán trên những con đường lộ bê-tông nối liền. Nhưng đâu đó trên các con sông, vẫn còn bóng dáng xuồng bánh mì kem tồn tại như một minh chứng của thời gian. Một điều đặc biệt là mùa nào cũng có thể ăn được món này, bởi kem kết hợp với bánh mì sẽ không quá lạnh mà dịu mát, cũng chẳng quá ngọt. Giữa thời buổi hiện đại, với biết bao loại kem mới mẻ, bánh mì kem nay không còn bán nhiều nữa, thậm chí là rất hiếm. Cũng chính vì vậy, lâu lâu được ăn lại món ăn này bạn sẽ càng thấy hương vị tuổi thơ thú vị và đáng quý biết bao./.   Thảo Mơ","Hình ảnh chiếc xuồng máy chạy trên sông chở thùng bánh mì kem có lẽ đã rất quen thuộc với những ai sinh ra và lớn lên ở vùng sông nước.
Cứ những lúc ở nhà là đám trẻ con xuống mé sông ngóng bóng dáng chiếc xuồng cô bán bánh mì kem chạy ngang.
Nói đâu xa xôi, xuồng bánh mì kem gần 20 năm này là của cô Tư Loan (Ðặng Thị Loan, ấp Nhà Máy B, xã Khánh Hưng, huyện Trần Văn Thời).
Mỗi tối, cô Tư đều tự làm kem dừa đựng trong thùng inox, rồi sáng hôm sau lấy bánh mì, khiêng thùng kem xuống xuồng chuẩn bị cho một ngày đi bán.
Xin người lớn được 5.000 đồng là tụi con nít ra mé sông đứng canh cô bán bánh mì kem chạy xuồng ngang.
Ở tuốt ngoài đê Sào Lưới này nên tới trưa cô bán bánh mì kem mới chạy xuồng tới.
Ổ bánh mì dồn kem là món ăn vặt bình dân xuất hiện đã lâu ở Cà Mau. Bây giờ, món ăn vặt tuổi thơ này còn được người ta chạy xe máy bán trên những con đường lộ bê-tông nối liền.
Một điều đặc biệt là mùa nào cũng có thể ăn được món này, bởi kem kết hợp với bánh mì sẽ không quá lạnh mà dịu mát, cũng chẳng quá ngọt.
Giữa thời buổi hiện đại, với biết bao loại kem mới mẻ, bánh mì kem nay không còn bán nhiều nữa, thậm chí là rất hiếm."
